FEN
8/6k1/2KP4/p1n5/1P6/7b/8/8 b - - 0 50
8/p4p2/3k4/8/3K3P/P4P2/8/8 b - - 0 38
2r5/p1P5/2R5/1n6/8/3K4/6k1/8 w - - 0 51
8/pkp5/8/8/7R/1KP5/P7/8 b - - 0 39
8/1p6/p1P2p2/K5p1/8/8/6k1/8 w - - 0 47
8/pp6/6k1/8/3R4/8/1r4r1/1K6 w - - 0 36
6Q1/8/5p2/2k1P3/4KPP1/8/8/8 b - - 0 48
8/8/8/5p1p/6k1/2RK2P1/6r1/8 b - - 0 49
2K5/P1R5/8/3Qk1p1/8/6P1/8/8 b - - 0 68
8/8/8/3K4/p1p5/P1P5/1P3k2/8 w - - 0 66
2k3r1/8/b2K4/8/8/1P5p/P7/8 b - - 0 51
8/8/1K5p/P5pP/5pk1/8/8/8 w - - 0 47
8/ppk5/2p5/8/6K1/5p2/r7/8 w - - 0 48
8/8/8/6k1/2P5/1P2R1P1/r3K3/8 w - - 0 55
8/8/3pk3/6P1/3PP3/5K1p/8/8 b - - 0 55
5k2/8/p5Q1/8/8/1PK5/P5r1/8 w - - 0 43
5R2/8/8/1pp5/1k1n4/3B4/6K1/8 b - - 0 50
6k1/4r1pp/8/8/8/6P1/7P/5K2 w - - 0 33
8/6k1/6p1/1p2p3/1K2P3/2P5/8/8 b - - 0 40
1b6/8/2k2B2/1p6/4P3/8/r7/3K4 w - - 0 62
3r4/5k2/1P1p4/3K4/8/7B/8/6b1 w - - 0 66
8/8/4k1K1/6qP/8/6P1/1r6/q7 w - - 0 54
8/5k2/5p2/5K2/5pPp/7P/8/8 w - - 0 39
8/7p/p4Q2/5q1k/8/6P1/6K1/8 w - - 0 52
6k1/7p/N4p2/8/r7/8/7P/7K w - - 0 38
8/1p5P/6K1/6N1/2p5/2k5/5P2/8 w - - 0 41
n6R/8/k7/2p5/8/6PP/5K2/8 w - - 0 49
8/8/p1pK4/1p6/1P1k4/P7/8/8 w - - 0 60
8/3p4/2b2R2/7k/7r/6R1/8/6K1 b - - 0 47
8/8/2PP4/5k2/5Pp1/8/K7/4B3 b - - 0 52
8/3k4/5K2/p7/5P2/PP6/7R/8 b - - 0 66
8/1k6/1P6/3p3p/5K2/8/5B1P/8 b - - 0 51
8/P7/7p/1K5p/5P2/6k1/1P6/8 w - - 0 55
2r5/7p/8/Q5pk/8/8/P7/6K1 w - - 0 55
8/8/4Pk2/1ppB4/8/4K3/P7/8 w - - 0 40
8/5q1p/6pk/4K3/8/5p1P/8/8 w - - 0 51
8/r7/5k1p/7P/1R6/1K3p2/8/8 w - - 0 57
8/8/1r1p4/1Pp5/2k5/6pK/8/8 w - - 0 55
8/7p/1P3k2/8/8/5p2/7P/4R2K b - - 0 38
8/6K1/7p/6bP/5p2/3k1P2/8/8 b - - 0 50
8/p7/K7/bP2p3/8/4k3/5p2/8 w - - 0 66
8/8/6kp/4P3/6p1/6K1/5P1P/8 w - - 0 49
8/5K1p/8/1k3P1P/5P2/8/8/r7 w - - 0 58
8/7r/5p2/1k6/4PK2/5P2/R7/8 w - - 0 55
5k2/8/4nP1p/8/1R5P/8/8/6K1 w - - 0 54
8/3R2p1/K4pk1/8/1r6/8/8/4R3 b - - 0 42
8/2q3p1/n7/3b1k2/8/8/3K4/5r2 w - - 0 62
8/2N5/8/4p3/k3P1p1/3K2P1/8/8 w - - 0 45
8/2k5/2N5/p1K5/P6p/5n2/8/8 b - - 0 47
8/3k4/P5p1/2p5/2P1K2P/8/8/8 w - - 0 48
8/7k/8/3ppPp1/8/4PK2/8/8 w - - 0 56
8/8/7P/8/8/1Bk1K2P/P2R4/8 b - - 0 42
5r2/1p4K1/1P5P/8/8/8/p2k4/8 w - - 0 64
8/8/7p/k2K1p2/6pP/6b1/8/8 w - - 0 41
8/8/8/2k5/5nR1/7P/3b2P1/7K w - - 0 54
8/5pb1/8/8/6P1/1k5K/p6P/8 b - - 0 44
8/6R1/8/2P4R/6Pk/p7/6K1/8 b - - 0 44
8/k7/1p6/1P3p2/4bK2/8/6p1/8 w - - 0 59
5R1Q/8/1p6/p1k5/2P5/8/3K4/8 b - - 0 51
8/4R3/1p4K1/1k6/8/P3p2r/8/8 b - - 0 42
8/7p/2p1Kq1k/3p4/8/7P/8/8 w - - 0 70
8/7p/2k4P/5K2/8/2p5/3R4/2r5 b - - 0 49
6k1/p4ppp/8/3K4/8/8/7r/8 w - - 0 31
8/8/p7/4k3/1p2P3/2P3N1/6K1/8 b - - 0 44
8/8/2p2k2/4p3/P3r3/6K1/8/6R1 w - - 0 49
8/8/4p3/4k3/4nnR1/5K2/6P1/8 b - - 0 44
8/8/4k3/8/1pKP2N1/8/P5P1/8 b - - 0 49
8/R7/8/6kp/8/P7/5PP1/6K1 b - - 0 41
5k2/8/7p/1K4p1/8/r4P2/7P/8 b - - 0 44
8/p7/8/5k2/3N1P2/P3K3/1P6/8 b - - 0 44
8/8/2k2Q2/P4P2/6P1/7P/7K/8 b - - 0 54
8/8/2r5/5kp1/8/3RP1K1/5P2/8 w - - 0 53
8/7p/3q1k2/1Kp5/2P4P/8/8/8 w - - 0 52
8/8/8/2Q2k2/8/n4P2/P2PK3/8 b - - 0 56
8/1pk5/2pqK3/8/8/5r2/3r4/8 w - - 0 66
4k3/4P3/3B1K2/8/1Pp5/8/3P4/8 b - - 0 47
8/8/8/7k/4KRNp/7P/6P1/8 b - - 0 57
R7/7k/8/3P4/4P3/5PK1/6P1/8 w - - 0 65
8/8/3K1p1p/6pP/6r1/1k6/8/8 w - - 0 49
8/6k1/1K3p2/4n3/4P3/1P6/2P5/8 b - - 0 46
8/2p3kp/8/5K2/P7/1q5P/8/8 w - - 0 42
8/6p1/8/5P2/6PP/4K3/1p6/1k6 b - - 0 49
8/7p/8/p1p2K2/k7/2b4P/8/8 w - - 0 46
8/2N1k3/3p2R1/8/1p4K1/8/1r6/8 w - - 0 44
2Q5/5k2/2P4p/2K5/8/8/P5p1/8 b - - 0 48
8/8/pp1k2Q1/8/P7/8/7P/7K b - - 0 53
6B1/7r/5p2/2p5/8/k7/5P2/6K1 w - - 0 48
2R1b3/7B/5k2/8/3K1P2/8/8/4r3 w - - 0 48
8/7K/6p1/6P1/7P/1k6/5P2/r7 w - - 0 51
8/1r5p/6p1/8/7P/K7/8/2kR4 b - - 0 63
8/8/8/8/1r1N1Pkp/4K1n1/8/8 w - - 0 48
r3R3/3k4/8/5ppp/8/8/8/3K4 w - - 0 43
5R2/2k4P/8/8/5p1r/5K2/6P1/8 w - - 0 64
8/5k2/8/3p3p/p2P4/5K1P/8/8 w - - 0 52
2Q5/8/1K4p1/7p/4Qk2/P7/8/8 b - - 0 59
7k/7p/1R4p1/3P4/4K3/7r/8/8 w - - 0 46
8/2k5/1p6/1P2r3/4b3/1K6/2P5/8 w - - 0 50
4B3/8/3B3k/2P5/6K1/7r/P7/8 b - - 0 48
8/6k1/4r3/4P3/6K1/4P2P/6P1/8 w - - 0 55
4B3/8/8/6pp/1p6/6K1/1k5P/8 w - - 0 43
5k2/R7/4PK2/3P3p/7r/8/8/8 b - - 0 50
8/2Q5/8/6kp/2N2p2/7P/8/6K1 b - - 0 53
8/k5p1/6pp/8/1P2K3/8/7P/8 w - - 0 49
8/2P2p2/1K2k3/p7/8/8/P7/5r2 w - - 0 48
6K1/3R4/5p2/5kp1/6rp/8/8/8 b - - 0 59
8/8/3b4/K2k4/1p6/1P6/P1P5/8 b - - 0 63
8/2kr4/R7/1p6/1P6/2K5/2P5/8 b - - 0 73
8/1R5p/p2K4/r7/3n4/3k4/8/8 b - - 0 59
8/8/3k4/p2P2p1/3K1pP1/8/8/8 w - - 0 46
8/1k6/8/4R3/p3P3/3P4/3r4/1K6 b - - 0 47
1k6/1p6/8/6r1/8/3P4/P6K/3R4 w - - 0 39
8/8/7p/3k4/2b2P2/P6P/5K2/8 b - - 0 45
5k2/6p1/4K3/p7/P3P3/8/5P2/8 b - - 0 42
8/8/8/1p6/8/PPK5/2P3k1/4r3 w - - 0 49
6k1/8/3r2p1/7p/5P1P/2K5/8/8 w - - 0 51
8/8/r7/8/7p/4k2P/p1KR4/8 b - - 0 51
8/1p6/8/B4k2/1Pp4K/8/1r6/8 w - - 0 50
8/8/8/1r4k1/7p/1P4N1/2P2K2/8 b - - 0 52
8/8/8/4p2P/2k1P3/1R6/6P1/6K1 b - - 0 31
8/K4p2/1P2p3/3b1k2/8/6B1/8/8 b - - 0 46
8/8/R7/2r5/8/PP3k2/1KP5/8 b - - 0 46
8/8/1p6/8/p1p4k/7r/5K2/7q b - - 0 54
8/8/1q5k/p7/8/PP6/1KP5/8 w - - 0 48
1Q6/8/7q/8/5P2/3kP3/5KP1/8 w - - 0 51
8/1k2K3/8/Ppn5/1P6/8/8/3r4 w - - 0 59
8/P1N5/8/1N6/6k1/K6B/5R2/8 b - - 0 43
8/6k1/6p1/6qp/8/5PNK/8/8 w - - 0 57
8/8/5p1k/7P/3p1PK1/3r4/8/8 w - - 0 42
8/5p2/4k3/3R4/7P/1P3K2/P7/8 b - - 0 44
3B4/8/5p2/5Q1k/5P1P/6K1/8/8 b - - 0 62
2k5/1p5R/7P/6K1/r7/8/6P1/8 w - - 0 32
6k1/1R6/6K1/7p/7P/4nP2/8/8 b - - 0 52
8/5p1p/4pp2/8/8/7P/1k2K3/8 w - - 0 35
8/8/3p2K1/p6p/P1k4P/8/8/8 w - - 0 51
2r4k/p5pp/7r/8/8/3K4/8/8 w - - 0 48
8/8/1K1kp1p1/3p4/7r/8/8/4R3 b - - 0 41
4n3/7k/1K1R4/1p6/6P1/8/P7/8 b - - 0 48
8/8/4Q3/1k6/p7/1Pp5/2N5/3K4 b - - 0 65
1R6/8/8/8/7k/6p1/P5P1/1R4K1 b - - 0 62
8/8/1p6/pB3KP1/P7/2k5/8/8 w - - 0 48
8/5p2/1R3Pk1/8/r7/8/1K6/5B2 w - - 0 45
8/8/5K2/5Bp1/6Pp/6kP/8/8 b - - 0 59
8/2R3pp/8/8/1kp2K1b/8/8/8 w - - 0 45
8/5R2/6p1/3p1k2/4r3/3K3p/8/8 b - - 0 46
5r2/kp2n1K1/p1n5/8/8/8/8/8 w - - 0 51
8/2P3p1/pK5p/8/6k1/8/P7/8 w - - 0 43
8/2R4p/8/7N/pk5P/8/7K/8 b - - 0 43
2R5/p7/8/8/5k2/1p2p3/P3K3/8 w - - 0 44
8/p7/8/3k2K1/8/1P6/P6P/5R2 b - - 0 45
